name,latitude,longitude,empty_slots,free_bikes
Front St W / University Ave (2),43.6452972,-79.3827914,18,1
457 King St W,43.6452091,-79.3960744,2,16
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,5,13
Roxborough St W / Yonge St,43.678077,-79.390328,10,7
Crawford St / Queen St W,43.645665,-79.415345,1,17
Lisgar St / Dundas St W - SMART,43.6493472,-79.42668,6,0
Dundas St E / Regent Park Blvd,43.660207,-79.361275,2,25
Lower Sherbourne St / The Esplanade,43.648655,-79.367061,1,23
Nelson St / Duncan St,43.648711,-79.389728,20,8
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,3,10
Queen St E / Sackville St,43.6561111,-79.36138888888888,9,6
Mill St / Tannery Rd,43.652219,-79.354455,22,5
Cherry St / Distillery Ln,43.650279,-79.356832,11,3
Queen St W / Spadina Ave,43.649147,-79.395504,6,4
Yonge St / Harbour St,43.643795,-79.375413,9,28
Willcocks St / St. George St,43.662085,-79.397735,14,3
Dundas St E / Parliament St,43.659575,-79.365769,9,6
51 Parliament St,43.65205,-79.362198,10,9
Queen's Park / Bloor St W,43.668456,-79.393899,23,0
Fort York Blvd / Bathurst St - SMART,43.639052,-79.399792,0,20
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,2,14
Queen St W / Cowan Ave,43.6409,-79.432837,2,16
Harbord St / Clinton St,43.660414,-79.415646,0,13
Central Tech  (Harbord St),43.661975,-79.407896,0,11
Roxton Rd / Harbord St,43.65905,-79.422988,5,5
Ulster St / Bathurst St,43.66,-79.4088888888889,2,9
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,17,6
Danforth Ave / Barrington Ave,43.688325,-79.300463,12,3
Pacific Ave / Glenlake Ave,43.65716,-79.46478,14,9
Broadview Subway Station,43.6772,-79.35858,14,0
Church St  / Wood St,43.662712,-79.379903,6,12
College Park - Gerrard Entrance,43.658938,-79.383518,2,20
Danforth Ave / Coxwell Ave,43.683378,-79.322961,7,6
12 Harbour St,43.6425636,-79.3762,0,15
Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,9,2
Yonge St / Bloor St,43.669969,-79.386532,14,0
Dufferin Gate - SMART,43.633473,-79.425679,3,13
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,9,25
Bloor St W / Shaw St - SMART,43.662403,-79.423098,19,13
Concord Ave / Dewson St,43.656945,-79.424911,1,16
Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,15,4
St Clair Ave W / Bathurst St.,43.683296,-79.418734,7,12
Queen St E / Nursewood Rd,43.673831,-79.281455,1,17
Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014,5,17
Lakeview Ave / Harrison St (Green P) – SMART,43.651145,-79.423742,1,14
Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,1,18
Frederick St / King St E,43.651118,-79.369411,0,18
College St / Borden St,43.6571,-79.4056,8,3
Beverley  St / Dundas St W,43.652823,-79.393388,21,7
Bay St / St. Joseph St,43.665527,-79.387499,13,2
Gould St / Mutual St,43.6582,-79.3768,21,8
Riverdale Park North (Broadview Ave),43.671172,-79.354704,10,0
Danforth Ave / Ellerbeck St,43.677076,-79.35667,10,3
Pape Subway Station (Green P),43.680223,-79.344062,11,4
Danforth Ave / Gough Ave,43.678401,-79.346289,12,4
Danforth Ave / Lamb Ave,43.681991,-79.329455,18,1
King St W / Stafford St,43.6422222,-79.41111111111111,3,10
Bathurst St / Lennox St,43.663808,-79.410491,18,1
Bathurst Subway Station,43.6666667,-79.41166666666668,22,0
Bloor St W / Christie St,43.6638889,-79.41888888888889,14,2
Ossington Ave / Bloor St W,43.661705,-79.425734,6,2
Essex St / Christie St - SMART,43.6686111,-79.42027777777778,18,0
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,6,12
Havelock St / Dufferin Park,43.657343,-79.43112,10,9
