name,latitude,longitude,empty_slots,free_bikes
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,0,14
Soho St / Queen St W,43.6494896,-79.393535,3,2
Davenport Rd / Lansdowne Ave,43.671526,-79.44874,18,1
Front St W / University Ave (2),43.6452972,-79.3827914,13,5
457 King St W,43.6452091,-79.3960744,2,17
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,14,5
Roxborough St W / Yonge St,43.678077,-79.390328,16,1
Crawford St / Queen St W,43.645665,-79.415345,1,18
Lisgar St / Dundas St W - SMART,43.6493472,-79.42668,2,6
Dundas St E / Regent Park Blvd,43.660207,-79.361275,3,22
Lower Sherbourne St / The Esplanade,43.648655,-79.367061,1,25
Nelson St / Duncan St,43.648711,-79.389728,14,15
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,12,2
Queen St E / Sackville St,43.6561111,-79.36138888888888,13,2
Mill St / Tannery Rd,43.652219,-79.354455,1,26
Cherry St / Distillery Ln,43.650279,-79.356832,7,7
Queen St W / Spadina Ave,43.649147,-79.395504,7,2
Yonge St / Harbour St,43.643795,-79.375413,4,32
Willcocks St / St. George St,43.662085,-79.397735,5,12
Dundas St E / Parliament St,43.659575,-79.365769,0,14
51 Parliament St,43.65205,-79.362198,0,19
Queen's Park / Bloor St W,43.668456,-79.393899,7,15
Fort York Blvd / Bathurst St - SMART,43.639052,-79.399792,8,12
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,0,14
Queen St W / Cowan Ave,43.6409,-79.432837,0,18
Harbord St / Clinton St,43.660414,-79.415646,5,8
Central Tech  (Harbord St),43.661975,-79.407896,1,10
Roxton Rd / Harbord St,43.65905,-79.422988,8,3
Ulster St / Bathurst St,43.66,-79.4088888888889,7,4
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,9,13
Danforth Ave / Barrington Ave,43.688325,-79.300463,8,7
Pacific Ave / Glenlake Ave,43.65716,-79.46478,7,16
Broadview Subway Station,43.6772,-79.35858,8,5
Church St  / Wood St,43.662712,-79.379903,2,16
College Park - Gerrard Entrance,43.658938,-79.383518,0,23
Danforth Ave / Coxwell Ave,43.683378,-79.322961,9,6
12 Harbour St,43.6425636,-79.3762,1,13
Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,7,4
Yonge St / Bloor St,43.669969,-79.386532,8,4
Dufferin Gate - SMART,43.633473,-79.425679,8,8
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,32,2
Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,29,2
Concord Ave / Dewson St,43.656945,-79.424911,10,6
Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,12,6
St Clair Ave W / Bathurst St.,43.683296,-79.418734,15,3
Queen St E / Nursewood Rd,43.673831,-79.281455,1,17
Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014,6,17
Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,0,14
